id,name,short_name,position,projected_value
jokicni01,Nikola Jokić,Jokić,C,70
wembavi01,Victor Wembanyama,Wemby,C,69
gilgesh01,Shai Gilgeous-Alexander,SGA,PG/SG,63
doncilu01,Luka Dončić,Dončić,PG/SG,65
leonaka01,Kawhi Leonard,Kawhi,SF/PF,49
maxeyty01,Tyrese Maxey,Maxey,PG/SG,59
flaggco01,Cooper Flagg,Flagg,SF/PF,45
edwaran01,Anthony Edwards,Ant,SG/SF,56
antetgi01,Giannis Antetokounmpo,Giannis,PF/C,52
cunnica01,Cade Cunningham,Cade,PG/SG,58
curryst01,Stephen Curry,Curry,PG,32
tatumja01,Jayson Tatum,Tatum,SF/PF,53
barnesc01,Scottie Barnes,Scottie,SF/PF,46
markkla01,Lauri Markkanen,Lauri,SF/PF,24
holmgch01,Chet Holmgren,Chet,PF/C,43
whitede01,Derrick White,White,PG/SG,23
townska01,Karl-Anthony Towns,KAT,PF/C,44
johnsja05,Jalen Johnson,J. Johnson,SF/PF,56
halibty01,Tyrese Haliburton,Hali,PG,45
clingdo01,Donovan Clingan,Clingan,C,15
murraja01,Jamal Murray,Jamal,PG/SG,41
reaveau01,Austin Reaves,Reaves,PG/SG,39
hardeja01,James Harden,Harden,PG/SG,45
murphtr02,Trey Murphy III,Murphy,SF/PF,22
mitchdo01,Donovan Mitchell,Mitchell,PG/SG,45
mobleev01,Evan Mobley,Mobley,PF/C,33
thompam01,Amen Thompson,Amen,SG/SF,33
ballla01,LaMelo Ball,LaMelo,PG,32
irvinky01,Kyrie Irving,Kyrie,PG/SG,17
edeyza01,Zach Edey,Edey,C,9
kesslwa01,Walker Kessler,Kessler,C,18
duranke01,Kevin Durant,KD,SF/PF,41
davisan02,Anthony Davis,AD,PF/C,17
adebaba01,Bam Adebayo,Bam,C,23
wareke01,Kel'el Ware,Ware,PF/C,8
lillada01,Damian Lillard,Dame,PG,7
banede01,Desmond Bane,Bane,SG/SF,20
sengual01,Alperen Şengün,Şengün,C,48
knuepko01,Kon Knueppel,Knueppel,SG/SF,20
durenja01,Jalen Duren,Duren,C,22
embiijo01,Joel Embiid,Embiid,C,18
daniedy01,Dyson Daniels,Dyson,PG/SG,10
okongon01,Onyeka Okongwu,Okongwu,PF/C,13
herroty01,Tyler Herro,Herro,PG/SG,12
jacksja02,Jaren Jackson Jr.,JJJ,PF/C,24
giddejo01,Josh Giddey,Giddey,PG/SG,30
georgpa01,Paul George,PG,SG/SF/PF,8
millebr02,Brandon Miller,B. Miller,SG/SF,22
portemi01,Michael Porter Jr.,MPJ,SF/PF,16
alexani01,Nickeil Alexander-Walker,NAW,SG/SF,16
brunsja01,Jalen Brunson,Brunson,PG,34
youngtr01,Trae Young,Trae,PG,28
jamesle01,LeBron James,LeBron,SF/PF,20
anunoog01,OG Anunoby,OG,SF/PF,14
bridgmi01,Mikal Bridges,Mikal,SG/SF,13
bookede01,Devin Booker,Booker,PG/SG,30
reidna01,Naz Reid,Naz,PF/C,3
suggsja01,Jalen Suggs,Suggs,PG/SG,7
sarral01,Alex Sarr,Sarr,PF/C,16
allenja01,Jarrett Allen,Allen,C,14
murrake02,Keegan Murray,Keegan,SF/PF,5
edgecvj01,VJ Edgecombe,Edgecombe,SG/SF,10
avdijde01,Deni Avdija,Avdija,SF/PF,31
wiggian01,Andrew Wiggins,Wiggins,SG/SF,1
randlju01,Julius Randle,Randle,PF,9
boozeca02,Cameron Boozer,Boozer,PF/C,11
quickim01,Immanuel Quickley,Quickley,PG/SG,10
goberru01,Rudy Gobert,Gobert,C,9
brownja02,Jaylen Brown,Jaylen,SG/SF,37
wallaca01,Cason Wallace,Cason,PG/SG,7
buzelma01,Matas Buzelis,Buzelis,SF/PF,12
pritcpa01,Payton Pritchard,Pritchard,PG/SG,5
georgke01,Keyonte George,Keyonte,PG/SG,17
murrade01,Dejounte Murray,Dejounte,PG/SG,5
mcdanja02,Jaden McDaniels,McDaniels,SF/PF,0
porzikr01,Kristaps Porziņģis,Porziņģis,PF/C,4
smithja05,Jabari Smith Jr.,Jabari,PF/C,3
rolliry01,Ryan Rollins,Rollins,PG/SG,5
foxde01,De'Aaron Fox,Fox,PG,12
hartjo01,Josh Hart,Hart,SG/SF/PF,11
wagnefr01,Franz Wagner,Franz,SF/PF,30
lendeya01,Yaxel Lendeborg,Lendeborg,SF/PF,7
banchpa01,Paolo Banchero,Paolo,PF,22
turnemy01,Myles Turner,Turner,C,12
ingrabr01,Brandon Ingram,Ingram,SF/PF,10
willima07,Mark Williams,M. Williams,C,6
siakapa01,Pascal Siakam,Siakam,PF,18
willija06,Jalen Williams,J-Dub,SG/SF/PF,29
sheppre01,Reed Sheppard,Sheppard,PG/SG,8
wilsoca01,Caleb Wilson,C. Wilson,SF/PF,9
vanvlfr01,Fred VanVleet,FVV,PG,6
powelno01,Norman Powell,Powell,SG/SF,7
garlada01,Darius Garland,Garland,PG,24
aldamsa01,Santi Aldama,Aldama,PF/C,1
sabondo01,Domantas Sabonis,Sabonis,PF/C,20
divindo01,Donte DiVincenzo,Donte,PG/SG,2
zubaciv01,Ivica Zubac,Zubac,C,12
bridgmi02,Miles Bridges,Bridges,SF/PF,4
georgky01,Kyshawn George,K. George,SF/PF,4
harteis01,Isaiah Hartenstein,Hartenstein,C,3
vucevni01,Nikola Vučević,Vučević,C,9
mccolcj01,CJ McCollum,CJ,PG/SG,0
thompau01,Ausar Thompson,Ausar,SG/SF,5
porteke02,Kevin Porter Jr.,KPJ,PG/SG,7
watsope01,Peyton Watson,Watson,SF/PF,0
williro04,Robert Williams III,Timelord,C,0
harrito02,Tobias Harris,Tobias,SF/PF,0
willizi01,Zion Williamson,Zion,PF,8
allengr01,Grayson Allen,Grayson,SG/SF,1
vassede01,Devin Vassell,Vassell,SG/SF,7
gordoaa01,Aaron Gordon,A. Gordon,PF,4
collijo01,John Collins,Collins,PF/C,2
peterda02,Darryn Peterson,Peterson,PG,7
podzibr01,Brandin Podziemski,Podz,PG/SG,2
mitchaj01,Ajay Mitchell,Ajay,PG,2
camarto01,Toumani Camara,Toumani,SF/PF,6
lavinza01,Zach LaVine,LaVine,SG/SF,5
washipj01,P.J. Washington,PJ,PF/C,2
burribr01,Brayden Burries,Burries,SG/SF,3
cartewe01,Wendell Carter Jr.,WCJ,C,1
poeltja01,Jakob Poeltl,Poeltl,C,6
nembhan01,Andrew Nembhard,Nembhard,PG/SG,9
claxtni01,Nic Claxton,Claxton,C,3
blackan01,Anthony Black,A. Black,PG/SG/SF,5
castlst01,Stephon Castle,Castle,PG/SG,14
