enabled,player_id,player_name,team,minutes_pg,fgm_pg,fga_pg,ftm_pg,fta_pg,threes_pg,points_pg,rebounds_pg,assists_pg,steals_pg,blocks_pg,turnovers_pg,note,source
false,1629630,Ja Morant,POR,31.0,7.4,17.2,5.4,6.6,1.3,15.5,4.0,7.8,1.0,0.3,3.5,Optional override: only 20 games in 2025-26 and new Portland context; disabled by default.,https://www.basketball-reference.com/players/m/moranja01.html
true,curryst01,Stephen Curry,GSW,30.906976744186046,8.7,18.58,4.74,5.14,4.42,26.56,3.58,4.72,1.14,0.4,2.81,Edited in BirdBoard,BirdBoard manual override
true,bryanca01,Carter Bryant,SAS,11.52112676056338,1.52,3.73,0.42,0.59,0.73,4.2,2.51,0.66,0.23,0.32,0.46,Edited in BirdBoard,BirdBoard manual override
true,wembavi01,Victor Wembanyama,SAS,29.15625,8.64,16.88,5.81,7.03,1.91,26.0,13.0,3.11,1.03,3.08,2.42,Edited in BirdBoard,BirdBoard manual override
true,gilgesh01,Shai Gilgeous-Alexander,OKC,33.220588235294116,10.3,19.43,7.94,9.03,1.69,31.13,4.29,6.59,1.4,0.76,2.22,Edited in BirdBoard,BirdBoard manual override
true,maxeyty01,Tyrese Maxey,PHI,38.01428571428571,9.0,19.0,5.31,5.96,2.8,23.0,2.6,7.4,1.86,0.79,2.44,Edited in BirdBoard,BirdBoard manual override
true,murraja01,Jamal Murray,DEN,35.36,8.0,18.13,4.61,5.2,3.27,25.4,4.4,7.13,0.88,0.39,2.28,Edited in BirdBoard,BirdBoard manual override
true,markkla01,Lauri Markkanen,UTA,34.357142857142854,8.8,18.0,5.71,6.38,2.6,25.0,6.88,2.12,1.0,0.5,1.5,Edited in BirdBoard,BirdBoard manual override
true,cunnica01,Cade Cunningham,DET,33.9375,8.56,18.58,4.84,5.97,2.2,25.0,5.55,9.91,1.44,0.84,3.69,Edited in BirdBoard,BirdBoard manual override
true,johnsja05,Jalen Johnson,ATL,35.166666666666664,8.33,17.06,4.18,5.31,1.67,22.51,10.28,7.86,1.24,0.43,3.39,Edited in BirdBoard,BirdBoard manual override
true,flaggco01,Cooper Flagg,DAL,33.48571428571429,8.7,18.0,5.1,6.0,2.0,25.0,8.0,4.5,1.2,1.2,2.2,Edited in BirdBoard,BirdBoard manual override
true,barnesc01,Scottie Barnes,TOR,33.5125,7.11,14.04,4.1,5.0,0.85,19.0,7.5,5.92,1.43,1.45,2.62,Edited in BirdBoard,BirdBoard manual override
true,edwaran01,Anthony Edwards,MIN,35.032786885245905,9.87,20.18,6.0,7.16,3.5,30.0,4.95,3.7,1.36,0.8,2.8,Edited in BirdBoard,BirdBoard manual override
true,murphtr02,Trey Murphy III,NOP,35.46969696969697,7.2,15.91,3.3,3.73,3.24,21.52,5.71,3.79,1.5,0.36,1.82,Edited in BirdBoard,BirdBoard manual override
true,mitchdo01,Donovan Mitchell,CLE,33.457142857142856,9.0,20.04,5.31,6.14,3.2,27.2,4.5,5.69,1.49,0.29,2.83,Edited in BirdBoard,BirdBoard manual override
true,doncilu01,Luka Dončić,LAL,35.765625,12.0,25.0,7.86,10.08,3.97,35.0,7.73,8.28,1.64,0.53,3.98,Edited in BirdBoard,BirdBoard manual override
true,tatumja01,Jayson Tatum,BOS,32.625,9.2,20.0,5.1,6.2,2.94,30.0,7.4,5.2,1.38,0.19,2.6,Edited in BirdBoard,BirdBoard manual override
true,hardeja01,James Harden,2TM,34.82857142857143,6.1,14.0,6.61,7.49,3.07,21.0,4.0,9.5,1.13,0.4,3.5,Edited in BirdBoard,BirdBoard manual override
true,reaveau01,Austin Reaves,LAL,34.549019607843135,8.8,18.0,8.0,9.0,2.31,26.0,4.71,5.49,1.1,0.39,2.96,Edited in BirdBoard,BirdBoard manual override
true,embiijo01,Joel Embiid,PHI,31.605263157894736,8.97,18.34,7.53,8.82,1.39,26.0,7.71,3.95,0.2,1.0,2.87,Edited in BirdBoard,BirdBoard manual override
true,holmgch01,Chet Holmgren,OKC,28.942028985507246,6.29,11.29,3.26,4.12,1.2,17.2,8.91,1.67,0.62,2.2,1.55,Edited in BirdBoard,BirdBoard manual override
