player_id,player_name,week,games,fgm,fga,ftm,fta,threes,points,rebounds,assists,steals,blocks,turnovers
gordoaa01,Aaron Gordon,1,2,22.0,32.0,12.0,12.0,11.0,67.0,10.0,3.0,3.0,1.0,2.0
gordoaa01,Aaron Gordon,2,3,10.0,26.0,11.0,11.0,1.0,32.0,17.0,7.0,1.0,0.0,7.0
gordoaa01,Aaron Gordon,3,3,21.0,39.0,13.0,16.0,7.0,62.0,16.0,3.0,3.0,0.0,4.0
gordoaa01,Aaron Gordon,4,3,19.0,38.0,12.0,15.0,8.0,58.0,22.0,4.0,3.0,2.0,4.0
gordoaa01,Aaron Gordon,5,2,10.0,19.0,4.0,6.0,1.0,25.0,12.0,0.0,0.0,0.0,1.0
gordoaa01,Aaron Gordon,11,1,8.0,15.0,4.0,6.0,0.0,20.0,6.0,2.0,0.0,0.0,3.0
gordoaa01,Aaron Gordon,12,3,17.0,39.0,10.0,13.0,5.0,49.0,21.0,11.0,0.0,0.0,1.0
gordoaa01,Aaron Gordon,13,3,17.0,35.0,7.0,12.0,5.0,46.0,23.0,15.0,3.0,1.0,1.0
gordoaa01,Aaron Gordon,14,3,15.0,30.0,13.0,18.0,4.0,47.0,15.0,13.0,3.0,0.0,1.0
gordoaa01,Aaron Gordon,20,1,1.0,7.0,1.0,2.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0
gordoaa01,Aaron Gordon,21,3,15.0,33.0,13.0,17.0,7.0,50.0,19.0,6.0,1.0,3.0,4.0
gordoaa01,Aaron Gordon,22,3,14.0,25.0,7.0,9.0,5.0,40.0,13.0,9.0,1.0,1.0,3.0
gordoaa01,Aaron Gordon,23,2,11.0,21.0,10.0,16.0,1.0,33.0,13.0,4.0,1.0,1.0,3.0
gordoaa01,Aaron Gordon,24,2,8.0,19.0,3.0,4.0,2.0,21.0,8.0,5.0,2.0,0.0,4.0
gordoaa01,Aaron Gordon,25,2,10.0,20.0,5.0,6.0,4.0,29.0,11.0,11.0,0.0,1.0,0.0
nesmiaa01,Aaron Nesmith,1,3,13.0,35.0,2.0,5.0,10.0,38.0,16.0,3.0,0.0,1.0,1.0
nesmiaa01,Aaron Nesmith,2,3,15.0,46.0,10.0,13.0,8.0,48.0,11.0,3.0,1.0,1.0,2.0
nesmiaa01,Aaron Nesmith,3,3,18.0,43.0,13.0,15.0,8.0,57.0,15.0,3.0,6.0,0.0,5.0
nesmiaa01,Aaron Nesmith,4,2,8.0,23.0,6.0,6.0,5.0,27.0,7.0,8.0,2.0,1.0,0.0
nesmiaa01,Aaron Nesmith,10,1,3.0,9.0,0.0,0.0,3.0,9.0,5.0,1.0,0.0,2.0,1.0
nesmiaa01,Aaron Nesmith,11,4,19.0,41.0,7.0,8.0,12.0,57.0,20.0,14.0,3.0,5.0,8.0
nesmiaa01,Aaron Nesmith,12,3,14.0,41.0,7.0,9.0,7.0,42.0,22.0,8.0,2.0,1.0,5.0
nesmiaa01,Aaron Nesmith,13,3,8.0,34.0,4.0,5.0,4.0,24.0,14.0,5.0,2.0,1.0,5.0
nesmiaa01,Aaron Nesmith,14,3,11.0,32.0,5.0,6.0,3.0,30.0,19.0,10.0,1.0,2.0,9.0
nesmiaa01,Aaron Nesmith,15,3,19.0,30.0,8.0,9.0,9.0,55.0,7.0,9.0,1.0,1.0,5.0
nesmiaa01,Aaron Nesmith,16,3,12.0,26.0,6.0,8.0,6.0,36.0,8.0,4.0,3.0,1.0,3.0
nesmiaa01,Aaron Nesmith,17,1,4.0,10.0,2.0,2.0,1.0,11.0,8.0,0.0,0.0,2.0,2.0
nesmiaa01,Aaron Nesmith,18,1,0.0,3.0,3.0,3.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0
nesmiaa01,Aaron Nesmith,20,3,8.0,24.0,0.0,1.0,2.0,18.0,7.0,5.0,1.0,2.0,3.0
nesmiaa01,Aaron Nesmith,21,3,25.0,49.0,13.0,13.0,10.0,73.0,8.0,6.0,1.0,2.0,4.0
nesmiaa01,Aaron Nesmith,22,3,13.0,28.0,2.0,2.0,6.0,34.0,6.0,1.0,1.0,0.0,1.0
nesmiaa01,Aaron Nesmith,23,3,22.0,38.0,4.0,6.0,11.0,59.0,12.0,5.0,2.0,1.0,9.0
baileac01,Ace Bailey,1,2,1.0,10.0,0.0,0.0,0.0,2.0,6.0,3.0,0.0,0.0,1.0
baileac01,Ace Bailey,2,4,10.0,30.0,4.0,4.0,2.0,26.0,12.0,7.0,2.0,1.0,5.0
baileac01,Ace Bailey,3,3,9.0,19.0,5.0,6.0,2.0,25.0,12.0,4.0,1.0,0.0,6.0
baileac01,Ace Bailey,4,4,21.0,40.0,5.0,7.0,9.0,56.0,17.0,6.0,5.0,1.0,6.0
baileac01,Ace Bailey,5,3,16.0,31.0,0.0,0.0,6.0,38.0,8.0,7.0,5.0,0.0,3.0
baileac01,Ace Bailey,6,3,18.0,32.0,2.0,2.0,7.0,45.0,9.0,5.0,2.0,1.0,4.0
baileac01,Ace Bailey,7,4,17.0,44.0,1.0,3.0,9.0,44.0,11.0,8.0,4.0,5.0,7.0
baileac01,Ace Bailey,8,1,4.0,12.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,2.0,1.0
baileac01,Ace Bailey,9,3,16.0,36.0,2.0,6.0,6.0,40.0,10.0,6.0,1.0,0.0,2.0
baileac01,Ace Bailey,10,3,11.0,27.0,1.0,2.0,4.0,27.0,9.0,0.0,2.0,1.0,2.0
baileac01,Ace Bailey,12,1,1.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0
baileac01,Ace Bailey,13,4,20.0,44.0,4.0,4.0,3.0,47.0,19.0,9.0,2.0,3.0,6.0
baileac01,Ace Bailey,14,4,28.0,54.0,2.0,2.0,7.0,65.0,17.0,9.0,2.0,3.0,6.0
baileac01,Ace Bailey,15,4,22.0,51.0,2.0,2.0,9.0,55.0,21.0,6.0,5.0,2.0,4.0
baileac01,Ace Bailey,16,3,20.0,47.0,4.0,8.0,5.0,49.0,13.0,5.0,6.0,4.0,6.0
baileac01,Ace Bailey,17,3,19.0,38.0,2.0,2.0,4.0,44.0,20.0,9.0,1.0,0.0,4.0
baileac01,Ace Bailey,18,1,8.0,19.0,2.0,3.0,2.0,20.0,6.0,3.0,0.0,1.0,3.0
baileac01,Ace Bailey,19,3,15.0,42.0,5.0,5.0,5.0,40.0,20.0,3.0,4.0,4.0,3.0
baileac01,Ace Bailey,20,4,27.0,62.0,5.0,6.0,12.0,71.0,14.0,6.0,6.0,1.0,8.0
baileac01,Ace Bailey,21,2,11.0,19.0,0.0,0.0,7.0,29.0,5.0,3.0,2.0,1.0,1.0
baileac01,Ace Bailey,22,3,26.0,60.0,7.0,8.0,16.0,75.0,18.0,10.0,3.0,7.0,8.0
baileac01,Ace Bailey,23,4,30.0,69.0,10.0,11.0,10.0,80.0,24.0,9.0,2.0,7.0,7.0
baileac01,Ace Bailey,24,4,28.0,63.0,3.0,5.0,8.0,67.0,13.0,10.0,1.0,3.0,8.0
baileac01,Ace Bailey,25,2,17.0,40.0,0.0,2.0,4.0,38.0,13.0,3.0,3.0,2.0,6.0
mitchaj01,Ajay Mitchell,1,3,21.0,45.0,9.0,9.0,5.0,56.0,12.0,13.0,3.0,1.0,1.0
mitchaj01,Ajay Mitchell,2,4,22.0,52.0,16.0,18.0,5.0,65.0,13.0,12.0,6.0,0.0,8.0
mitchaj01,Ajay Mitchell,3,4,24.0,48.0,16.0,17.0,4.0,68.0,19.0,20.0,11.0,1.0,9.0
mitchaj01,Ajay Mitchell,4,3,18.0,41.0,5.0,6.0,4.0,45.0,12.0,9.0,5.0,2.0,7.0
mitchaj01,Ajay Mitchell,5,4,20.0,42.0,12.0,15.0,4.0,56.0,10.0,15.0,7.0,2.0,8.0
mitchaj01,Ajay Mitchell,6,3,10.0,21.0,9.0,12.0,1.0,30.0,7.0,9.0,1.0,0.0,2.0
mitchaj01,Ajay Mitchell,7,3,9.0,18.0,4.0,4.0,4.0,26.0,6.0,9.0,2.0,0.0,4.0
mitchaj01,Ajay Mitchell,8,2,5.0,9.0,6.0,6.0,2.0,18.0,8.0,8.0,3.0,2.0,2.0
mitchaj01,Ajay Mitchell,9,2,12.0,25.0,5.0,5.0,1.0,30.0,9.0,7.0,2.0,0.0,1.0
mitchaj01,Ajay Mitchell,10,2,12.0,22.0,2.0,4.0,3.0,29.0,10.0,5.0,4.0,0.0,3.0
mitchaj01,Ajay Mitchell,11,4,16.0,28.0,16.0,16.0,3.0,51.0,11.0,16.0,5.0,3.0,5.0
mitchaj01,Ajay Mitchell,12,4,26.0,57.0,8.0,11.0,6.0,66.0,12.0,14.0,6.0,2.0,4.0
mitchaj01,Ajay Mitchell,13,3,17.0,31.0,5.0,5.0,4.0,43.0,15.0,9.0,3.0,1.0,9.0
mitchaj01,Ajay Mitchell,14,2,10.0,17.0,1.0,3.0,2.0,23.0,5.0,11.0,3.0,0.0,5.0
mitchaj01,Ajay Mitchell,21,3,19.0,39.0,9.0,10.0,3.0,50.0,11.0,12.0,3.0,0.0,3.0
mitchaj01,Ajay Mitchell,22,3,16.0,31.0,5.0,5.0,3.0,40.0,10.0,8.0,2.0,0.0,4.0
mitchaj01,Ajay Mitchell,23,3,12.0,23.0,4.0,6.0,3.0,31.0,10.0,12.0,0.0,3.0,3.0
mitchaj01,Ajay Mitchell,24,3,11.0,26.0,6.0,6.0,3.0,31.0,6.0,11.0,3.0,1.0,3.0
mitchaj01,Ajay Mitchell,25,2,6.0,15.0,3.0,4.0,1.0,16.0,4.0,6.0,2.0,0.0,0.0
horfoal01,Al Horford,1,2,7.0,15.0,0.0,0.0,4.0,18.0,8.0,3.0,1.0,1.0,4.0
horfoal01,Al Horford,2,3,4.0,15.0,0.0,0.0,1.0,9.0,12.0,3.0,1.0,2.0,4.0
horfoal01,Al Horford,3,2,4.0,14.0,0.0,0.0,4.0,12.0,11.0,3.0,2.0,3.0,3.0
horfoal01,Al Horford,4,3,5.0,16.0,0.0,0.0,5.0,15.0,8.0,9.0,4.0,4.0,2.0
