Loaded 582 players for 2026-27 using 2025-26 statistics

========================================================================
STAGE-AWARE EARLY j TRAINING — v34
========================================================================
22 / 600 states already checkpointed | deep=212941 | pricing bank=300
per-run compute budget: 6.00 hours
Rayon worker threads: 8
deep j rollouts: parallel for searches >= 256 vectors
  [ 23/600] roster=2 drafted=27 H= 57.27% | 110.4s | checkpointed
  [ 24/600] roster=3 drafted=40 H= 56.61% | 112.0s | checkpointed
  [ 25/600] roster=4 drafted=49 H= 48.59% | 107.0s | checkpointed
  [ 26/600] roster=0 drafted=4 H= 71.93% |  98.4s | checkpointed
  [ 27/600] roster=1 drafted=14 H= 60.84% | 120.2s | checkpointed
  [ 28/600] roster=2 drafted=27 H= 51.11% | 123.0s | checkpointed
  [ 29/600] roster=3 drafted=40 H= 54.09% | 108.4s | checkpointed
  [ 30/600] roster=4 drafted=49 H= 52.73% | 104.9s | checkpointed
  [ 31/600] roster=0 drafted=4 H= 66.04% |  99.6s | checkpointed
  [ 32/600] roster=1 drafted=14 H= 56.97% | 126.6s | checkpointed
  [ 33/600] roster=2 drafted=27 H= 54.88% | 116.2s | checkpointed
  [ 34/600] roster=3 drafted=40 H= 47.10% | 108.4s | checkpointed
  [ 35/600] roster=4 drafted=49 H= 50.40% | 104.8s | checkpointed
  [ 36/600] roster=0 drafted=4 H= 72.28% |  96.9s | checkpointed
  [ 37/600] roster=1 drafted=14 H= 59.74% | 125.1s | checkpointed
  [ 38/600] roster=2 drafted=27 H= 51.86% | 120.9s | checkpointed
  [ 39/600] roster=3 drafted=40 H= 48.10% | 112.3s | checkpointed
  [ 40/600] roster=4 drafted=49 H= 52.70% | 105.8s | checkpointed
  [ 41/600] roster=0 drafted=4 H= 72.52% |  98.9s | checkpointed
  [ 42/600] roster=1 drafted=14 H= 59.95% | 119.2s | checkpointed
  [ 43/600] roster=2 drafted=27 H= 56.31% | 124.0s | checkpointed
  [ 44/600] roster=3 drafted=40 H= 51.07% | 104.2s | checkpointed
  [ 45/600] roster=4 drafted=49 H= 43.42% | 106.8s | checkpointed
  [ 46/600] roster=0 drafted=4 H= 72.98% | 105.6s | checkpointed
  [ 47/600] roster=1 drafted=14 H= 64.86% | 136.1s | checkpointed
